po_number,supplier,sku,qty_ordered,qty_received,unit_cost,order_date,expected_date,received_date,location,fill_rate
PO00465-2,SUP033,SKU00465,462,462,103.86,2026-06-05,2026-06-12,2026-06-12,ST025,1.0
PO00465-3,SUP033,SKU00465,462,462,103.86,2026-06-30,2026-07-07,2026-07-07,ST025,1.0
PO00466-1,SUP036,SKU00466,84,84,12.18,2026-05-12,2026-05-20,2026-05-20,ST032,1.0
PO00466-2,SUP036,SKU00466,84,84,12.18,2026-06-06,2026-06-14,2026-06-14,ST032,1.0
PO00466-3,SUP036,SKU00466,84,84,12.18,2026-07-01,2026-07-09,2026-07-09,ST032,1.0
PO00467-1,SUP039,SKU00467,434,434,15.54,2026-05-13,2026-05-22,2026-05-22,ST039,1.0
PO00467-2,SUP039,SKU00467,434,434,15.54,2026-06-07,2026-06-16,2026-06-16,ST039,1.0
PO00467-3,SUP039,SKU00467,434,434,15.54,2026-07-02,2026-07-11,2026-07-11,ST039,1.0
PO00468-1,SUP042,SKU00468,224,224,26.48,2026-05-14,2026-05-24,2026-05-24,ST046,1.0
PO00468-2,SUP042,SKU00468,224,224,26.48,2026-06-08,2026-06-18,2026-06-18,ST046,1.0
PO00468-3,SUP042,SKU00468,224,224,26.48,2026-07-03,2026-07-13,2026-07-13,ST046,1.0
PO00469-1,SUP045,SKU00469,518,518,38.06,2026-05-15,2026-05-22,2026-05-22,ST001,1.0
PO00469-2,SUP045,SKU00469,518,518,38.06,2026-06-09,2026-06-16,2026-06-16,ST001,1.0
PO00469-3,SUP045,SKU00469,518,518,38.06,2026-07-04,2026-07-11,2026-07-11,ST001,1.0
PO00470-1,SUP048,SKU00470,42,42,47.59,2026-05-09,2026-05-17,2026-05-17,ST008,1.0
PO00470-2,SUP048,SKU00470,42,42,47.59,2026-06-03,2026-06-11,2026-06-11,ST008,1.0
PO00470-3,SUP048,SKU00470,42,42,47.59,2026-06-28,2026-07-06,2026-07-06,ST008,1.0
PO00471-1,SUP051,SKU00471,490,490,55.88,2026-05-10,2026-05-19,2026-05-19,ST015,1.0
PO00471-2,SUP051,SKU00471,490,490,55.88,2026-06-04,2026-06-13,2026-06-13,ST015,1.0
PO00471-3,SUP051,SKU00471,490,490,55.88,2026-06-29,2026-07-08,2026-07-08,ST015,1.0
PO00472-1,SUP054,SKU00472,280,280,72.82,2026-05-11,2026-05-21,2026-05-21,ST022,1.0
PO00472-2,SUP054,SKU00472,280,280,72.82,2026-06-05,2026-06-15,2026-06-15,ST022,1.0
PO00472-3,SUP054,SKU00472,280,280,72.82,2026-06-30,2026-07-10,2026-07-10,ST022,1.0
PO00473-1,SUP057,SKU00473,574,574,78.78,2026-05-12,2026-05-19,2026-05-19,ST029,1.0
PO00473-2,SUP057,SKU00473,574,574,78.78,2026-06-06,2026-06-13,2026-06-13,ST029,1.0
PO00473-3,SUP057,SKU00473,574,574,78.78,2026-07-01,2026-07-08,2026-07-08,ST029,1.0
PO00474-1,SUP060,SKU00474,98,98,96.19,2026-05-13,2026-05-21,2026-05-21,ST036,1.0
PO00474-2,SUP060,SKU00474,98,98,96.19,2026-06-07,2026-06-15,2026-06-15,ST036,1.0
PO00474-3,SUP060,SKU00474,98,98,96.19,2026-07-02,2026-07-10,2026-07-10,ST036,1.0
PO00475-1,SUP063,SKU00475,196,196,121.11,2026-05-14,2026-05-23,2026-05-23,ST043,1.0
PO00475-2,SUP063,SKU00475,196,196,121.11,2026-06-08,2026-06-17,2026-06-17,ST043,1.0
PO00475-3,SUP063,SKU00475,196,196,121.11,2026-07-03,2026-07-12,2026-07-12,ST043,1.0
PO00476-1,SUP066,SKU00476,336,336,129.08,2026-05-15,2026-05-25,2026-05-25,ST050,1.0
PO00476-2,SUP066,SKU00476,336,336,129.08,2026-06-09,2026-06-19,2026-06-19,ST050,1.0
PO00476-3,SUP066,SKU00476,336,336,129.08,2026-07-04,2026-07-14,2026-07-14,ST050,1.0
PO00477-1,SUP069,SKU00477,630,630,10.01,2026-05-09,2026-05-16,2026-05-16,ST005,1.0
PO00477-2,SUP069,SKU00477,630,630,10.01,2026-06-03,2026-06-10,2026-06-10,ST005,1.0
PO00477-3,SUP069,SKU00477,630,630,10.01,2026-06-28,2026-07-05,2026-07-05,ST005,1.0
PO00478-1,SUP072,SKU00478,56,56,26.52,2026-05-10,2026-05-18,2026-05-18,ST012,1.0
PO00478-2,SUP072,SKU00478,56,56,26.52,2026-06-04,2026-06-12,2026-06-12,ST012,1.0
PO00478-3,SUP072,SKU00478,56,56,26.52,2026-06-29,2026-07-07,2026-07-07,ST012,1.0
PO00479-1,SUP075,SKU00479,252,252,44.89,2026-05-11,2026-05-20,2026-05-20,ST019,1.0
PO00479-2,SUP075,SKU00479,252,252,44.89,2026-06-05,2026-06-14,2026-06-14,ST019,1.0
PO00479-3,SUP075,SKU00479,252,252,44.89,2026-06-30,2026-07-09,2026-07-09,ST019,1.0
PO00480-1,SUP078,SKU00480,112,112,43.84,2026-05-12,2026-05-22,2026-05-22,ST026,1.0
PO00480-2,SUP078,SKU00480,112,112,43.84,2026-06-06,2026-06-16,2026-06-16,ST026,1.0
PO00480-3,SUP078,SKU00480,112,112,43.84,2026-07-01,2026-07-11,2026-07-11,ST026,1.0
PO00481-1,SUP001,SKU00481,266,266,61.62,2026-05-13,2026-05-20,2026-05-20,ST033,1.0
PO00481-2,SUP001,SKU00481,266,266,61.62,2026-06-07,2026-06-14,2026-06-14,ST033,1.0
PO00481-3,SUP001,SKU00481,266,266,61.62,2026-07-02,2026-07-09,2026-07-09,ST033,1.0
PO00482-1,SUP004,SKU00482,112,112,77.81,2026-05-14,2026-05-22,2026-05-22,ST040,1.0
PO00482-2,SUP004,SKU00482,112,112,77.81,2026-06-08,2026-06-16,2026-06-16,ST040,1.0
PO00482-3,SUP004,SKU00482,112,112,77.81,2026-07-03,2026-07-11,2026-07-11,ST040,1.0
PO00483-1,SUP007,SKU00483,308,308,84.7,2026-05-15,2026-05-24,2026-05-24,ST047,1.0
PO00483-2,SUP007,SKU00483,308,308,84.7,2026-06-09,2026-06-18,2026-06-18,ST047,1.0
PO00483-3,SUP007,SKU00483,308,308,84.7,2026-07-04,2026-07-13,2026-07-13,ST047,1.0
PO00484-1,SUP010,SKU00484,168,168,77.22,2026-05-09,2026-05-19,2026-05-19,ST002,1.0
PO00484-2,SUP010,SKU00484,168,168,77.22,2026-06-03,2026-06-13,2026-06-13,ST002,1.0
PO00484-3,SUP010,SKU00484,168,168,77.22,2026-06-28,2026-07-08,2026-07-08,ST002,1.0
PO00485-1,SUP013,SKU00485,322,322,114.58,2026-05-10,2026-05-17,2026-05-17,ST009,1.0
PO00485-2,SUP013,SKU00485,322,322,114.58,2026-06-04,2026-06-11,2026-06-11,ST009,1.0
PO00485-3,SUP013,SKU00485,322,322,114.58,2026-06-29,2026-07-06,2026-07-06,ST009,1.0
PO00486-1,SUP016,SKU00486,70,70,125.38,2026-05-11,2026-05-19,2026-05-19,ST016,1.0
PO00486-2,SUP016,SKU00486,70,70,125.38,2026-06-05,2026-06-13,2026-06-13,ST016,1.0
PO00486-3,SUP016,SKU00486,70,70,125.38,2026-06-30,2026-07-08,2026-07-08,ST016,1.0
PO00487-1,SUP019,SKU00487,364,364,117.64,2026-05-12,2026-05-21,2026-05-21,ST023,1.0
PO00487-2,SUP019,SKU00487,364,364,117.64,2026-06-06,2026-06-15,2026-06-15,ST023,1.0
PO00487-3,SUP019,SKU00487,364,364,117.64,2026-07-01,2026-07-10,2026-07-10,ST023,1.0
PO00488-1,SUP022,SKU00488,224,224,26.68,2026-05-13,2026-05-23,2026-05-23,ST030,1.0
PO00488-2,SUP022,SKU00488,224,224,26.68,2026-06-07,2026-06-17,2026-06-17,ST030,1.0
PO00488-3,SUP022,SKU00488,224,224,26.68,2026-07-02,2026-07-12,2026-07-12,ST030,1.0
PO00489-1,SUP025,SKU00489,378,378,25.06,2026-05-14,2026-05-21,2026-05-21,ST037,1.0
PO00489-2,SUP025,SKU00489,378,378,25.06,2026-06-08,2026-06-15,2026-06-15,ST037,1.0
PO00489-3,SUP025,SKU00489,378,378,25.06,2026-07-03,2026-07-10,2026-07-10,ST037,1.0
PO00490-1,SUP028,SKU00490,28,28,52.05,2026-05-15,2026-05-23,2026-05-23,ST044,1.0
PO00490-2,SUP028,SKU00490,28,28,52.05,2026-06-09,2026-06-17,2026-06-17,ST044,1.0
PO00490-3,SUP028,SKU00490,28,28,52.05,2026-07-04,2026-07-12,2026-07-12,ST044,1.0
PO00491-1,SUP031,SKU00491,420,420,60.08,2026-05-09,2026-05-18,2026-05-18,ST051,1.0
PO00491-2,SUP031,SKU00491,420,420,60.08,2026-06-03,2026-06-12,2026-06-12,ST051,1.0
PO00491-3,SUP031,SKU00491,420,420,60.08,2026-06-28,2026-07-07,2026-07-07,ST051,1.0
PO00492-1,SUP034,SKU00492,280,280,71.29,2026-05-10,2026-05-20,2026-05-20,ST006,1.0
PO00492-2,SUP034,SKU00492,280,280,71.29,2026-06-04,2026-06-14,2026-06-14,ST006,1.0
PO00492-3,SUP034,SKU00492,280,280,71.29,2026-06-29,2026-07-09,2026-07-09,ST006,1.0
PO00493-1,SUP037,SKU00493,434,434,67.92,2026-05-11,2026-05-18,2026-05-18,ST013,1.0
PO00493-2,SUP037,SKU00493,434,434,67.92,2026-06-05,2026-06-12,2026-06-12,ST013,1.0
PO00493-3,SUP037,SKU00493,434,434,67.92,2026-06-30,2026-07-07,2026-07-07,ST013,1.0
PO00494-1,SUP040,SKU00494,84,84,93.52,2026-05-12,2026-05-20,2026-05-20,ST020,1.0
PO00494-2,SUP040,SKU00494,84,84,93.52,2026-06-06,2026-06-14,2026-06-14,ST020,1.0
PO00494-3,SUP040,SKU00494,84,84,93.52,2026-07-01,2026-07-09,2026-07-09,ST020,1.0
PO00495-1,SUP043,SKU00495,476,476,98.7,2026-05-13,2026-05-22,2026-05-22,ST027,1.0
PO00495-2,SUP043,SKU00495,476,476,98.7,2026-06-07,2026-06-16,2026-06-16,ST027,1.0
PO00495-3,SUP043,SKU00495,476,476,98.7,2026-07-02,2026-07-11,2026-07-11,ST027,1.0
PO00496-1,SUP046,SKU00496,336,336,108.9,2026-05-14,2026-05-24,2026-05-24,ST034,1.0
PO00496-2,SUP046,SKU00496,336,336,108.9,2026-06-08,2026-06-18,2026-06-18,ST034,1.0
PO00496-3,SUP046,SKU00496,336,336,108.9,2026-07-03,2026-07-13,2026-07-13,ST034,1.0
PO00497-1,SUP049,SKU00497,490,490,100.77,2026-05-15,2026-05-22,2026-05-22,ST041,1.0
PO00497-2,SUP049,SKU00497,490,490,100.77,2026-06-09,2026-06-16,2026-06-16,ST041,1.0
PO00497-3,SUP049,SKU00497,490,490,100.77,2026-07-04,2026-07-11,2026-07-11,ST041,1.0
PO00498-1,SUP052,SKU00498,42,42,13.29,2026-05-09,2026-05-17,2026-05-17,ST048,1.0
PO00498-2,SUP052,SKU00498,42,42,13.29,2026-06-03,2026-06-11,2026-06-11,ST048,1.0
PO00498-3,SUP052,SKU00498,42,42,13.29,2026-06-28,2026-07-06,2026-07-06,ST048,1.0
PO00499-1,SUP055,SKU00499,532,532,35.79,2026-05-10,2026-05-19,2026-05-19,ST003,1.0
PO00499-2,SUP055,SKU00499,532,532,35.79,2026-06-04,2026-06-13,2026-06-13,ST003,1.0
PO00499-3,SUP055,SKU00499,532,532,35.79,2026-06-29,2026-07-08,2026-07-08,ST003,1.0
PO00500-1,SUP058,SKU00500,112,112,35.95,2026-05-11,2026-05-21,2026-05-21,ST010,1.0
PO00500-2,SUP058,SKU00500,112,112,35.95,2026-06-05,2026-06-15,2026-06-15,ST010,1.0
PO00500-3,SUP058,SKU00500,112,112,35.95,2026-06-30,2026-07-10,2026-07-10,ST010,1.0
PO00501-1,SUP061,SKU00501,546,546,57.37,2026-05-12,2026-05-19,2026-05-19,ST017,1.0
PO00501-2,SUP061,SKU00501,546,546,57.37,2026-06-06,2026-06-13,2026-06-13,ST017,1.0
PO00501-3,SUP061,SKU00501,546,546,57.37,2026-07-01,2026-07-08,2026-07-08,ST017,1.0
PO00502-1,SUP064,SKU00502,98,98,65.78,2026-05-13,2026-05-21,2026-05-21,ST024,1.0
PO00502-2,SUP064,SKU00502,98,98,65.78,2026-06-07,2026-06-15,2026-06-15,ST024,1.0
PO00502-3,SUP064,SKU00502,98,98,65.78,2026-07-02,2026-07-10,2026-07-10,ST024,1.0
PO00503-1,SUP067,SKU00503,238,238,70.24,2026-05-14,2026-05-23,2026-05-23,ST031,1.0
PO00503-2,SUP067,SKU00503,238,238,70.24,2026-06-08,2026-06-17,2026-06-17,ST031,1.0
PO00503-3,SUP067,SKU00503,238,238,70.24,2026-07-03,2026-07-12,2026-07-12,ST031,1.0
PO00504-1,SUP070,SKU00504,168,168,81.42,2026-05-15,2026-05-25,2026-05-25,ST038,1.0
PO00504-2,SUP070,SKU00504,168,168,81.42,2026-06-09,2026-06-19,2026-06-19,ST038,1.0
PO00504-3,SUP070,SKU00504,168,168,81.42,2026-07-04,2026-07-14,2026-07-14,ST038,1.0
PO00505-1,SUP073,SKU00505,602,602,109.53,2026-05-09,2026-05-16,2026-05-16,ST045,1.0
PO00505-2,SUP073,SKU00505,602,602,109.53,2026-06-03,2026-06-10,2026-06-10,ST045,1.0
PO00505-3,SUP073,SKU00505,602,602,109.53,2026-06-28,2026-07-05,2026-07-05,ST045,1.0
PO00506-1,SUP076,SKU00506,56,56,109.98,2026-05-10,2026-05-18,2026-05-18,ST052,1.0
PO00506-2,SUP076,SKU00506,56,56,109.98,2026-06-04,2026-06-12,2026-06-12,ST052,1.0
PO00506-3,SUP076,SKU00506,56,56,109.98,2026-06-29,2026-07-07,2026-07-07,ST052,1.0
PO00507-1,SUP079,SKU00507,294,294,119.57,2026-05-11,2026-05-20,2026-05-20,ST007,1.0
PO00507-2,SUP079,SKU00507,294,294,119.57,2026-06-05,2026-06-14,2026-06-14,ST007,1.0
PO00507-3,SUP079,SKU00507,294,294,119.57,2026-06-30,2026-07-09,2026-07-09,ST007,1.0
PO00508-1,SUP002,SKU00508,224,224,131.09,2026-05-12,2026-05-22,2026-05-22,ST014,1.0
PO00508-2,SUP002,SKU00508,224,224,131.09,2026-06-06,2026-06-16,2026-06-16,ST014,1.0
PO00508-3,SUP002,SKU00508,224,224,131.09,2026-07-01,2026-07-11,2026-07-11,ST014,1.0
PO00509-1,SUP005,SKU00509,658,658,16.8,2026-05-13,2026-05-20,2026-05-20,ST021,1.0
PO00509-2,SUP005,SKU00509,658,658,16.8,2026-06-07,2026-06-14,2026-06-14,ST021,1.0
PO00509-3,SUP005,SKU00509,658,658,16.8,2026-07-02,2026-07-09,2026-07-09,ST021,1.0
PO00510-1,SUP008,SKU00510,112,112,25.59,2026-05-14,2026-05-22,2026-05-22,ST028,1.0
PO00510-2,SUP008,SKU00510,112,112,25.59,2026-06-08,2026-06-16,2026-06-16,ST028,1.0
PO00510-3,SUP008,SKU00510,112,112,25.59,2026-07-03,2026-07-11,2026-07-11,ST028,1.0
PO00511-1,SUP011,SKU00511,350,350,43.14,2026-05-15,2026-05-24,2026-05-24,ST035,1.0
PO00511-2,SUP011,SKU00511,350,350,43.14,2026-06-09,2026-06-18,2026-06-18,ST035,1.0
PO00511-3,SUP011,SKU00511,350,350,43.14,2026-07-04,2026-07-13,2026-07-13,ST035,1.0
PO00512-1,SUP014,SKU00512,280,280,52.57,2026-05-09,2026-05-19,2026-05-19,ST042,1.0
PO00512-2,SUP014,SKU00512,280,280,52.57,2026-06-03,2026-06-13,2026-06-13,ST042,1.0
PO00512-3,SUP014,SKU00512,280,280,52.57,2026-06-28,2026-07-08,2026-07-08,ST042,1.0
PO00513-1,SUP017,SKU00513,294,294,67.18,2026-05-10,2026-05-17,2026-05-17,ST049,1.0
PO00513-2,SUP017,SKU00513,294,294,67.18,2026-06-04,2026-06-11,2026-06-11,ST049,1.0
PO00513-3,SUP017,SKU00513,294,294,67.18,2026-06-29,2026-07-06,2026-07-06,ST049,1.0
PO00514-1,SUP020,SKU00514,70,70,86.09,2026-05-11,2026-05-19,2026-05-19,ST004,1.0
PO00514-2,SUP020,SKU00514,70,70,86.09,2026-06-05,2026-06-13,2026-06-13,ST004,1.0
PO00514-3,SUP020,SKU00514,70,70,86.09,2026-06-30,2026-07-08,2026-07-08,ST004,1.0
PO00515-1,SUP023,SKU00515,406,406,71.15,2026-05-12,2026-05-21,2026-05-21,ST011,1.0
PO00515-2,SUP023,SKU00515,406,406,71.15,2026-06-06,2026-06-15,2026-06-15,ST011,1.0
PO00515-3,SUP023,SKU00515,406,406,71.15,2026-07-01,2026-07-10,2026-07-10,ST011,1.0
PO00516-1,SUP026,SKU00516,336,336,114.73,2026-05-13,2026-05-23,2026-05-23,ST018,1.0
PO00516-2,SUP026,SKU00516,336,336,114.73,2026-06-07,2026-06-17,2026-06-17,ST018,1.0
PO00516-3,SUP026,SKU00516,336,336,114.73,2026-07-02,2026-07-12,2026-07-12,ST018,1.0
PO00517-1,SUP029,SKU00517,350,350,119.51,2026-05-14,2026-05-21,2026-05-21,ST025,1.0
PO00517-2,SUP029,SKU00517,350,350,119.51,2026-06-08,2026-06-15,2026-06-15,ST025,1.0
PO00517-3,SUP029,SKU00517,350,350,119.51,2026-07-03,2026-07-10,2026-07-10,ST025,1.0
PO00518-1,SUP032,SKU00518,28,28,104.13,2026-05-15,2026-05-23,2026-05-23,ST032,1.0
PO00518-2,SUP032,SKU00518,28,28,104.13,2026-06-09,2026-06-17,2026-06-17,ST032,1.0
PO00518-3,SUP032,SKU00518,28,28,104.13,2026-07-04,2026-07-12,2026-07-12,ST032,1.0
PO00519-1,SUP035,SKU00519,462,462,7.16,2026-05-09,2026-05-18,2026-05-18,ST039,1.0
PO00519-2,SUP035,SKU00519,462,462,7.16,2026-06-03,2026-06-12,2026-06-12,ST039,1.0
PO00519-3,SUP035,SKU00519,462,462,7.16,2026-06-28,2026-07-07,2026-07-07,ST039,1.0
PO00520-1,SUP038,SKU00520,112,112,22.27,2026-05-10,2026-05-20,2026-05-20,ST046,1.0
PO00520-2,SUP038,SKU00520,112,112,22.27,2026-06-04,2026-06-14,2026-06-14,ST046,1.0
PO00520-3,SUP038,SKU00520,112,112,22.27,2026-06-29,2026-07-09,2026-07-09,ST046,1.0
PO00521-1,SUP041,SKU00521,406,406,35.94,2026-05-11,2026-05-18,2026-05-18,ST001,1.0
PO00521-2,SUP041,SKU00521,406,406,35.94,2026-06-05,2026-06-12,2026-06-12,ST001,1.0
PO00521-3,SUP041,SKU00521,406,406,35.94,2026-06-30,2026-07-07,2026-07-07,ST001,1.0
PO00522-1,SUP044,SKU00522,84,84,50.06,2026-05-12,2026-05-20,2026-05-20,ST008,1.0
PO00522-2,SUP044,SKU00522,84,84,50.06,2026-06-06,2026-06-14,2026-06-14,ST008,1.0
PO00522-3,SUP044,SKU00522,84,84,50.06,2026-07-01,2026-07-09,2026-07-09,ST008,1.0
PO00523-1,SUP047,SKU00523,518,518,62.16,2026-05-13,2026-05-22,2026-05-22,ST015,1.0
PO00523-2,SUP047,SKU00523,518,518,62.16,2026-06-07,2026-06-16,2026-06-16,ST015,1.0
PO00523-3,SUP047,SKU00523,518,518,62.16,2026-07-02,2026-07-11,2026-07-11,ST015,1.0
PO00524-1,SUP050,SKU00524,168,168,72.32,2026-05-14,2026-05-24,2026-05-24,ST022,1.0
PO00524-2,SUP050,SKU00524,168,168,72.32,2026-06-08,2026-06-18,2026-06-18,ST022,1.0
PO00524-3,SUP050,SKU00524,168,168,72.32,2026-07-03,2026-07-13,2026-07-13,ST022,1.0
PO00525-1,SUP053,SKU00525,462,462,83.36,2026-05-15,2026-05-22,2026-05-22,ST029,1.0
PO00525-2,SUP053,SKU00525,462,462,83.36,2026-06-09,2026-06-16,2026-06-16,ST029,1.0
PO00525-3,SUP053,SKU00525,462,462,83.36,2026-07-04,2026-07-11,2026-07-11,ST029,1.0
PO00526-1,SUP056,SKU00526,42,42,104.72,2026-05-09,2026-05-17,2026-05-17,ST036,1.0
PO00526-2,SUP056,SKU00526,42,42,104.72,2026-06-03,2026-06-11,2026-06-11,ST036,1.0
PO00526-3,SUP056,SKU00526,42,42,104.72,2026-06-28,2026-07-06,2026-07-06,ST036,1.0
PO00527-1,SUP059,SKU00527,224,224,113.24,2026-05-10,2026-05-19,2026-05-19,ST043,1.0
PO00527-2,SUP059,SKU00527,224,224,113.24,2026-06-04,2026-06-13,2026-06-13,ST043,1.0
PO00527-3,SUP059,SKU00527,224,224,113.24,2026-06-29,2026-07-08,2026-07-08,ST043,1.0
PO00528-1,SUP062,SKU00528,224,224,100.29,2026-05-11,2026-05-21,2026-05-21,ST050,1.0
PO00528-2,SUP062,SKU00528,224,224,100.29,2026-06-05,2026-06-15,2026-06-15,ST050,1.0
PO00528-3,SUP062,SKU00528,224,224,100.29,2026-06-30,2026-07-10,2026-07-10,ST050,1.0
PO00529-1,SUP065,SKU00529,518,518,105.85,2026-05-12,2026-05-19,2026-05-19,ST005,1.0
PO00529-2,SUP065,SKU00529,518,518,105.85,2026-06-06,2026-06-13,2026-06-13,ST005,1.0
PO00529-3,SUP065,SKU00529,518,518,105.85,2026-07-01,2026-07-08,2026-07-08,ST005,1.0
PO00530-1,SUP068,SKU00530,98,98,17.75,2026-05-13,2026-05-21,2026-05-21,ST012,1.0
PO00530-2,SUP068,SKU00530,98,98,17.75,2026-06-07,2026-06-15,2026-06-15,ST012,1.0
PO00530-3,SUP068,SKU00530,98,98,17.75,2026-07-02,2026-07-10,2026-07-10,ST012,1.0
PO00531-1,SUP071,SKU00531,280,280,36.41,2026-05-14,2026-05-23,2026-05-23,ST019,1.0
PO00531-2,SUP071,SKU00531,280,280,36.41,2026-06-08,2026-06-17,2026-06-17,ST019,1.0
PO00531-3,SUP071,SKU00531,280,280,36.41,2026-07-03,2026-07-12,2026-07-12,ST019,1.0
PO00532-1,SUP074,SKU00532,280,280,41.08,2026-05-15,2026-05-25,2026-05-25,ST026,1.0
PO00532-2,SUP074,SKU00532,280,280,41.08,2026-06-09,2026-06-19,2026-06-19,ST026,1.0
PO00532-3,SUP074,SKU00532,280,280,41.08,2026-07-04,2026-07-14,2026-07-14,ST026,1.0
PO00533-1,SUP077,SKU00533,574,574,47.8,2026-05-09,2026-05-16,2026-05-16,ST033,1.0
PO00533-2,SUP077,SKU00533,574,574,47.8,2026-06-03,2026-06-10,2026-06-10,ST033,1.0
PO00533-3,SUP077,SKU00533,574,574,47.8,2026-06-28,2026-07-05,2026-07-05,ST033,1.0
PO00534-1,SUP080,SKU00534,56,56,65.44,2026-05-10,2026-05-18,2026-05-18,ST040,1.0
PO00534-2,SUP080,SKU00534,56,56,65.44,2026-06-04,2026-06-12,2026-06-12,ST040,1.0
PO00534-3,SUP080,SKU00534,56,56,65.44,2026-06-29,2026-07-07,2026-07-07,ST040,1.0
PO00535-1,SUP003,SKU00535,336,336,80.29,2026-05-11,2026-05-20,2026-05-20,ST047,1.0
PO00535-2,SUP003,SKU00535,336,336,80.29,2026-06-05,2026-06-14,2026-06-14,ST047,1.0
PO00535-3,SUP003,SKU00535,336,336,80.29,2026-06-30,2026-07-09,2026-07-09,ST047,1.0
PO00536-1,SUP006,SKU00536,336,336,90.29,2026-05-12,2026-05-22,2026-05-22,ST002,1.0
PO00536-2,SUP006,SKU00536,336,336,90.29,2026-06-06,2026-06-16,2026-06-16,ST002,1.0
PO00536-3,SUP006,SKU00536,336,336,90.29,2026-07-01,2026-07-11,2026-07-11,ST002,1.0
PO00537-1,SUP009,SKU00537,630,630,74.86,2026-05-13,2026-05-20,2026-05-20,ST009,1.0
PO00537-2,SUP009,SKU00537,630,630,74.86,2026-06-07,2026-06-14,2026-06-14,ST009,1.0
PO00537-3,SUP009,SKU00537,630,630,74.86,2026-07-02,2026-07-09,2026-07-09,ST009,1.0
PO00538-1,SUP012,SKU00538,112,112,113.04,2026-05-14,2026-05-22,2026-05-22,ST016,1.0
PO00538-2,SUP012,SKU00538,112,112,113.04,2026-06-08,2026-06-16,2026-06-16,ST016,1.0
PO00538-3,SUP012,SKU00538,112,112,113.04,2026-07-03,2026-07-11,2026-07-11,ST016,1.0
PO00539-1,SUP015,SKU00539,392,392,122.2,2026-05-15,2026-05-24,2026-05-24,ST023,1.0
PO00539-2,SUP015,SKU00539,392,392,122.2,2026-06-09,2026-06-18,2026-06-18,ST023,1.0
PO00539-3,SUP015,SKU00539,392,392,122.2,2026-07-04,2026-07-13,2026-07-13,ST023,1.0
PO00540-1,SUP018,SKU00540,112,112,10.2,2026-05-09,2026-05-19,2026-05-19,ST030,1.0
PO00540-2,SUP018,SKU00540,112,112,10.2,2026-06-03,2026-06-13,2026-06-13,ST030,1.0
PO00540-3,SUP018,SKU00540,112,112,10.2,2026-06-28,2026-07-08,2026-07-08,ST030,1.0
PO00541-1,SUP021,SKU00541,266,266,22.54,2026-05-10,2026-05-17,2026-05-17,ST037,1.0
PO00541-2,SUP021,SKU00541,266,266,22.54,2026-06-04,2026-06-11,2026-06-11,ST037,1.0
PO00541-3,SUP021,SKU00541,266,266,22.54,2026-06-29,2026-07-06,2026-07-06,ST037,1.0
PO00542-1,SUP024,SKU00542,70,70,24.91,2026-05-11,2026-05-19,2026-05-19,ST044,1.0
PO00542-2,SUP024,SKU00542,70,70,24.91,2026-06-05,2026-06-13,2026-06-13,ST044,1.0
PO00542-3,SUP024,SKU00542,70,70,24.91,2026-06-30,2026-07-08,2026-07-08,ST044,1.0
PO00543-1,SUP027,SKU00543,448,448,42.19,2026-05-12,2026-05-21,2026-05-21,ST051,1.0
PO00543-2,SUP027,SKU00543,448,448,42.19,2026-06-06,2026-06-15,2026-06-15,ST051,1.0
PO00543-3,SUP027,SKU00543,448,448,42.19,2026-07-01,2026-07-10,2026-07-10,ST051,1.0
PO00544-1,SUP030,SKU00544,168,168,52.32,2026-05-13,2026-05-23,2026-05-23,ST006,1.0
PO00544-2,SUP030,SKU00544,168,168,52.32,2026-06-07,2026-06-17,2026-06-17,ST006,1.0
PO00544-3,SUP030,SKU00544,168,168,52.32,2026-07-02,2026-07-12,2026-07-12,ST006,1.0
PO00545-1,SUP033,SKU00545,322,322,77.55,2026-05-14,2026-05-21,2026-05-21,ST013,1.0
PO00545-2,SUP033,SKU00545,322,322,77.55,2026-06-08,2026-06-15,2026-06-15,ST013,1.0
PO00545-3,SUP033,SKU00545,322,322,77.55,2026-07-03,2026-07-10,2026-07-10,ST013,1.0
PO00546-1,SUP036,SKU00546,28,28,69.0,2026-05-15,2026-05-23,2026-05-23,ST020,1.0
PO00546-2,SUP036,SKU00546,28,28,69.0,2026-06-09,2026-06-17,2026-06-17,ST020,1.0
PO00546-3,SUP036,SKU00546,28,28,69.0,2026-07-04,2026-07-12,2026-07-12,ST020,1.0
PO00547-1,SUP039,SKU00547,504,504,85.04,2026-05-09,2026-05-18,2026-05-18,ST027,1.0
PO00547-2,SUP039,SKU00547,504,504,85.04,2026-06-03,2026-06-12,2026-06-12,ST027,1.0
PO00547-3,SUP039,SKU00547,504,504,85.04,2026-06-28,2026-07-07,2026-07-07,ST027,1.0
PO00548-1,SUP042,SKU00548,224,224,82.96,2026-05-10,2026-05-20,2026-05-20,ST034,1.0
PO00548-2,SUP042,SKU00548,224,224,82.96,2026-06-04,2026-06-14,2026-06-14,ST034,1.0
PO00548-3,SUP042,SKU00548,224,224,82.96,2026-06-29,2026-07-09,2026-07-09,ST034,1.0
PO00549-1,SUP045,SKU00549,378,378,113.88,2026-05-11,2026-05-18,2026-05-18,ST041,1.0
PO00549-2,SUP045,SKU00549,378,378,113.88,2026-06-05,2026-06-12,2026-06-12,ST041,1.0
